image_id,brightness,contrast,colorfulness,sharpness,quality_factor,bitrate,hxw,deep_feature,,Optimal_Score
826373,0.390904834,0.253917609,0.432910646,22.76193439,79,0.576666667,3145728,100,,40
2017266,0.268971143,0.184486318,0.274606168,15.92623475,73,0.247070313,3145728,10,,20
2190310,0.046951947,0.126259043,0.096060146,8.148866586,90,0.121119748,5038848,42,,38
2704811,0.44946323,0.310170134,0.365717795,7.452023631,97,0.340017731,4255763,188,,20
3039024,0.455554087,0.230377108,0.347200023,8.009904938,98,0.246666667,6291456,30,,32
3615562,0.281818029,0.321780631,0.044129796,9.919114623,82,0.156237545,3211520,189,,25
3620726,0.175077398,0.201406831,0.368586772,6.531380932,75,0.07917037,2160000,94,,33
3628043,0.347249364,0.322735457,0.021921872,23.56523124,79,0.349390994,3871488,93,,26
4947244,0.22717551,0.177702518,0.376513411,8.052324076,96,0.413333333,3145728,117,,46
5076506,0.808850973,0.105505494,0.022640459,13.79990301,97,0.419673908,2361910,68,,35
5129172,0.190401728,0.210795702,0.327993872,8.193495099,98,0.343974079,3871488,157,,29
5354698,0.71386185,0.286613169,0.195976464,10.56543218,89,0.154982597,2424840,99,,25
5962747,0.284945295,0.169627416,0.341917055,9.921172713,83,0.211390407,5059584,127,,32
6596306,0.331435514,0.297204903,0.313468328,10.68517467,98,0.52,3145728,98,,27
6841095,0.119635411,0.089297447,0.031159262,11.68273446,97,0.472,1920000,200,,47
7162655,0.648082334,0.118598635,0.378271074,23.21295404,81,0.204427083,786432,142,,56
7583515,0.20742747,0.191974664,0.069766075,7.247425527,81,0.018619792,3145728,158,,47
7924366,0.157306014,0.095948436,0.206003919,7.033908047,100,0.794270833,786432,96,,
9813135,0.257680719,0.097809945,0.066861995,11.6274855,73,0.082222222,1382400,170,,
9814999,0.295643306,0.14813823,0.058555509,9.230931784,73,0.059777778,1382400,49,,
9935622,0.511138541,0.293533686,0.28857477,8.611188549,73,0.078518519,1382400,190,,
10325321,0.347066429,0.207978496,0.322131612,17.40748513,73,0.205504115,3981312,98,,
10458591,0.356861024,0.295656415,0.380499913,10.2016633,93,0.22315979,2666000,10,,
10856757,0.321026955,0.234424055,0.458681765,8.681332059,100,0.437978191,4477020,147,,
11706252,0.296103432,0.189179352,0.170836715,10.05000908,82,0.195921183,1113264,126,,
12949713,0.516206036,0.209279569,0.296602367,20.53790243,99,0.931069296,3277260,162,,
13325497,0.584257552,0.325747447,0.114238774,22.53779175,100,0.807291667,786432,156,,
14092652,0.753685258,0.10209457,0.012159525,14.56233588,99,0.855388418,1385208,154,,
14898266,0.17334951,0.260488062,0.064267481,8.062370248,90,0.04466088,18961740,101,,
15012954,0.109367261,0.077816568,0.058736406,14.41939693,78,0.11021402,1997568,44,,
16057476,0.344587982,0.359217256,0,25.41626193,100,0.826666667,1572864,108,,
16079437,0.133377868,0.119596845,0.25587967,14.54716221,97,0.316394013,4739229,63,,
16523804,0.470981136,0.303705611,0.465242121,7.980202453,96,0.384533333,1920000,195,,
16799807,0.543696944,0.363582846,0.213037876,6.652819879,86,0.239166667,1228800,146,,
17606027,0.750105612,0.074740627,0.019495097,14.18223863,80,0.036585516,2076800,151,,
18238731,0.115924722,0.103940498,0.274310212,5.872312298,80,0.134114889,1091840,178,,
18438855,0.46959502,0.084487544,0.436469629,12.91176918,96,0.386666667,3145728,7,,
19300996,0.090127069,0.099946434,0.455566293,10.62651786,99,0.458666667,4915200,76,,
19502065,0.045744,0.108537942,0.03708531,9.537653108,77,0.039192708,786432,58,,
19943010,0.464390404,0.297340405,0.200295422,22.41545709,99,0.679945102,3917056,31,,
20079130,0.675852058,0.099636246,0.153092875,8.549304183,98,0.305514403,3981312,52,,
20522527,0.632296994,0.111712986,0.213687322,11.60127688,98,0.555,1228800,90,,
21852937,0.586416549,0.157802535,0.284984585,10.87551952,99,0.952632317,1232800,70,,
22533278,0.209261778,0.178604163,0.424778087,13.05978983,94,0.134997312,13825944,167,,
22848476,0.452338699,0.353942726,0.303206495,17.3218047,99,0.799131912,3503424,125,,
22947511,0.038546843,0.073857876,0.169101944,13.1844819,99,0.4736,1920000,115,,
23371433,0.52583723,0.191218213,0.344280834,9.155311273,73,0.178385417,786432,192,,
25239707,0.515773958,0.207329788,0.461507159,20.38827294,97,0.810758086,980100,172,,
25742613,0.09094326,0.143335558,0.204372748,6.332766174,80,0.061666667,1228800,58,,
26344318,0.142946914,0.228127074,0.197737224,6.528750536,80,0.046886447,2795520,117,,
26842976,0.114138651,0.144249565,0.091061568,11.65090424,99,0.91,3145728,103,,
26847054,0.453431953,0.387194536,0.275920988,10.32325051,99,0.442716596,6016000,60,,
27896611,0.646692298,0.078082598,0.273846145,13.39089294,96,0.337239583,786432,7,,
28173586,0.629600442,0.241477506,0.430853064,8.69852111,100,0.611979167,786432,199,,
